id,name,latitude,longitude,locality_verbose,cuisines,average_cost_for_two,price_range,aggregate_rating,votes,all_reviews_count,photo_count,establishment,establishment_types
19278628,Foodie Box,13.0394009539,80.1698085666,Valasaravakkam/ Chennai,Street Food/ Fast Food,300,1,0,2,0,0,Food Truck,
18649108,Hew And Frost,13.0391990958,80.1696570218,Valasaravakkam/ Chennai,Bakery,400,1,3.4,8,1,1,Bakery,
19252108,"Five Star Chicken, Porur",13.0418820000,80.1669750000,Vepery/ Chennai,Fast Food,300,1,0,0,0,0,Quick Bites,
18797568,Frozen Bottle,13.0420900930,80.1783634722,Valasaravakkam/ Chennai,Beverages/ Desserts/ Ice Cream,400,1,3.9,99,43,43,Beverage Shop,
19293884,Corner Cafe,13.0489766119,80.1759012043,Valasaravakkam/ Chennai,Beverages/ Tea,100,1,0,0,0,1,Beverage Shop,
19267871,Mannahs Eat And Enjoy,13.0500470000,80.1707750000,Maduravoyal/ Chennai,Fast Food/ Chettinad,400,1,0,2,2,0,,
18662959,Cream & Fudge,13.0420280337,80.1787946373,Valasaravakkam/ Chennai,Ice Cream/ Desserts/ Fast Food,350,1,3.8,51,13,27,Dessert Parlour,
19132565,D.A Brother's Food Corner,13.0483237008,80.1773666963,Valasaravakkam/ Chennai,Chinese/ North Indian,400,1,3.1,13,7,1,Quick Bites,
68398,Baskaran Hotel,13.0483472174,80.1773905009,Valasaravakkam/ Chennai,Biryani/ Mughlai,200,1,0,2,0,3,Quick Bites,
19201686,Golden Fries,13.0502710000,80.1709960000,Maduravoyal/ Chennai,Fast Food,300,1,0,0,0,0,Quick Bites,
18966981,Le Smoothie,13.0502710000,80.1709960000,Maduravoyal/ Chennai,Beverages/ Sandwich,400,1,3.3,17,3,5,Beverage Shop,
19022928,Sandwich and Juice Corner,13.0502740000,80.1709950000,Maduravoyal/ Chennai,Sandwich/ Juices,250,1,0,3,1,2,,
19293883,Palamudhirsolai Cool Drinks,13.0482675223,80.1775209233,Valasaravakkam/ Chennai,Beverages/ Juices,100,1,0,0,0,1,Beverage Shop,
71842,Spice Bar,13.0417719576,80.1788348705,Valasaravakkam/ Chennai,Finger Food,1000,3,3.6,50,20,14,Bar,
67548,New Andhra Meals Hotel,13.0417223101,80.1788345352,Valasaravakkam/ Chennai,Andhra/ Chinese/ South Indian/ North Indian/ Biryani,600,2,3.7,701,311,136,Casual Dining,
18524393,Mami Bhojanam,13.0427642513,80.1658211276,Valasaravakkam/ Chennai,South Indian,300,1,0,1,1,1,Quick Bites,
19125289,Kumbakonam Subbaiya Mess,13.0432519044,80.1792978868,Valasaravakkam/ Chennai,South Indian,100,1,3.2,7,7,4,Quick Bites,
67901,Hotel Saravana Bhavan,13.0383309082,80.1681110635,Porur/ Chennai,North Indian/ South Indian/ Desserts/ Beverages/ Mithai,550,2,3.1,415,236,87,Casual Dining,
18682364,7Food Cafe,13.0507390000,80.1697950000,Valasaravakkam/ Chennai,Fast Food,400,1,3.2,6,1,1,Quick Bites,
65230,Hot Chips,13.0418336902,80.1797370985,Valasaravakkam/ Chennai,Street Food/ North Indian/ Chinese,400,1,3.8,159,55,43,Casual Dining,
18433745,Tuck Shop Gourmet,13.0419153472,80.1798849553,Valasaravakkam/ Chennai,Fast Food/ Italian/ Beverages,500,2,0,2,1,2,Casual Dining,
18433743,JDS Donut House,13.0418314038,80.1798779145,Valasaravakkam/ Chennai,Desserts/ Fast Food,400,1,2.7,54,31,9,Casual Dining,
18889951,Kolkata Chat & Fresh Juice Corner,13.0421864481,80.1800180599,Valasaravakkam/ Chennai,Street Food,100,1,0,2,0,0,Quick Bites,
